frame,time_s,detected,px_x,px_y,pool_x_m,pool_y_m,speed_mps,orange_area_px2,cluster_contours,num_orange_candidates
114,3.8030625078764966,False,nan,nan,nan,nan,nan,0.0,0,1
115,3.8364227053140096,False,nan,nan,nan,nan,nan,0.0,0,3
116,3.869782902751523,False,nan,nan,nan,nan,nan,0.0,0,3
117,3.903143100189036,False,nan,nan,nan,nan,nan,0.0,0,3
118,3.9365032976265493,False,nan,nan,nan,nan,nan,0.0,0,3
119,3.9698634950640623,False,nan,nan,nan,nan,nan,0.0,0,2
120,4.003223692501575,False,nan,nan,nan,nan,nan,0.0,0,2
121,4.036583889939089,False,nan,nan,nan,nan,nan,0.0,0,3
122,4.0699440873766015,False,nan,nan,nan,nan,nan,0.0,0,3
123,4.103304284814115,False,nan,nan,nan,nan,nan,0.0,0,3
124,4.136664482251628,False,nan,nan,nan,nan,nan,0.0,0,4
125,4.170024679689141,False,nan,nan,nan,nan,nan,0.0,0,4
126,4.203384877126655,False,nan,nan,nan,nan,nan,0.0,0,3
127,4.236745074564167,False,nan,nan,nan,nan,nan,0.0,0,3
128,4.270105272001681,False,nan,nan,nan,nan,nan,0.0,0,4
129,4.303465469439193,False,nan,nan,nan,nan,nan,0.0,0,4
130,4.336825666876707,False,nan,nan,nan,nan,nan,0.0,0,3
131,4.3701858643142195,False,nan,nan,nan,nan,nan,0.0,0,4
132,4.403546061751733,False,nan,nan,nan,nan,nan,0.0,0,4
133,4.4369062591892465,False,nan,nan,nan,nan,nan,0.0,0,2
134,4.470266456626759,False,nan,nan,nan,nan,nan,0.0,0,4
135,4.503626654064273,False,nan,nan,nan,nan,nan,0.0,0,3
136,4.536986851501785,False,nan,nan,nan,nan,nan,0.0,0,3
137,4.570347048939299,False,nan,nan,nan,nan,nan,0.0,0,4
138,4.603707246376811,False,nan,nan,nan,nan,nan,0.0,0,3
139,4.637067443814325,False,nan,nan,nan,nan,nan,0.0,0,3
140,4.670427641251838,False,nan,nan,nan,nan,nan,0.0,0,4
141,4.703787838689351,False,nan,nan,nan,nan,nan,0.0,0,4
142,4.7371480361268645,False,nan,nan,nan,nan,nan,0.0,0,4
143,4.770508233564377,False,nan,nan,nan,nan,nan,0.0,0,4
144,4.803868431001891,False,nan,nan,nan,nan,nan,0.0,0,4
145,4.837228628439404,False,nan,nan,nan,nan,nan,0.0,0,4
146,4.870588825876917,False,nan,nan,nan,nan,nan,0.0,0,3
147,4.90394902331443,False,nan,nan,nan,nan,nan,0.0,0,4
148,4.937309220751943,False,nan,nan,nan,nan,nan,0.0,0,4
149,4.970669418189456,False,nan,nan,nan,nan,nan,0.0,0,4
150,5.004029615626969,False,nan,nan,nan,nan,nan,0.0,0,4
151,5.0373898130644825,False,nan,nan,nan,nan,nan,0.0,0,3
152,5.070750010501996,False,nan,nan,nan,nan,nan,0.0,0,4
153,5.104110207939509,False,nan,nan,nan,nan,nan,0.0,0,2
154,5.137470405377022,False,nan,nan,nan,nan,nan,0.0,0,3
155,5.170830602814535,False,nan,nan,nan,nan,nan,0.0,0,3
156,5.204190800252048,False,nan,nan,nan,nan,nan,0.0,0,2
157,5.237550997689561,False,nan,nan,nan,nan,nan,0.0,0,3
158,5.270911195127074,False,nan,nan,nan,nan,nan,0.0,0,3
159,5.304271392564588,False,nan,nan,nan,nan,nan,0.0,0,3
160,5.3376315900021005,False,nan,nan,nan,nan,nan,0.0,0,2
161,5.370991787439614,False,nan,nan,nan,nan,nan,0.0,0,4
162,5.404351984877127,False,nan,nan,nan,nan,nan,0.0,0,4
163,5.43771218231464,False,nan,nan,nan,nan,nan,0.0,0,1
164,5.471072379752153,False,nan,nan,nan,nan,nan,0.0,0,2
165,5.504432577189666,False,nan,nan,nan,nan,nan,0.0,0,3
166,5.53779277462718,False,nan,nan,nan,nan,nan,0.0,0,2
167,5.571152972064692,False,nan,nan,nan,nan,nan,0.0,0,2
168,5.604513169502206,False,nan,nan,nan,nan,nan,0.0,0,3
169,5.6378733669397185,False,nan,nan,nan,nan,nan,0.0,0,2
170,5.671233564377232,False,nan,nan,nan,nan,nan,0.0,0,3
171,5.704593761814745,False,nan,nan,nan,nan,nan,0.0,0,3
172,5.737953959252258,False,nan,nan,nan,nan,nan,0.0,0,2
173,5.771314156689772,False,nan,nan,nan,nan,nan,0.0,0,2
174,5.804674354127284,False,nan,nan,nan,nan,nan,0.0,0,1
175,5.838034551564798,False,nan,nan,nan,nan,nan,0.0,0,3
176,5.87139474900231,False,nan,nan,nan,nan,nan,0.0,0,2
